Epoch,Iteration,Acc(R),MeanOut(R),Loss(R),Acc(F),MeanOut(F),Loss(F),Acc(Overall),
0,0,100.00,0.54,0.62,0.00,0.53,0.75,50.00,
0,1,100.00,0.67,0.41,0.00,0.67,1.12,50.00,
0,2,0.00,0.34,1.09,100.00,0.31,0.37,50.00,
0,3,0.00,0.19,1.68,100.00,0.22,0.25,50.00,
0,4,100.00,0.78,0.24,0.00,0.79,1.58,50.00,
0,5,100.00,0.82,0.21,0.00,0.79,1.58,50.00,
0,6,0.00,0.38,0.98,100.00,0.36,0.45,50.00,
0,7,0.00,0.18,1.72,100.00,0.16,0.17,50.00,
